ServerId,Server.ExternalId,Server.HostName,Server.VMware.VMname,Recommendation.EC2.Remarks,Server.OS.Name,Server.OS.Version,Server.CPU.NumberOfProcessors,Server.CPU.NumberOfCores,Server.CPU.NumberOfLogicalCores,Recommendation.EC2.RequestedCPU.UsagePct,Recommendation.EC2.RequestedvCPU,Server.RAM.TotalSizeInMB,Recommendation.EC2.RequestedRAM.UsagePct,Recommendation.EC2.RequestedRAMinMB,Recommendation.EC2.Instance.Model,Recommendation.EC2.Instance.vCPUCount,Recommendation.EC2.Instance.RAM.TotalSizeinMB,Recommendation.EC2.Instance.Price.UpfrontCost,Recommendation.EC2.Instance.Price.HourlyRate,Recommendation.EC2.Instance.Price.AmortizedHourlyRate,Recommendation.EC2.Instance.Price.EffectiveDate.UTC,Recommendation.EC2.Instance.OSType,UserPreference.Recommendation.CPUSizing,UserPreference.Recommendation.RAMSizing,UserPreference.Region,UserPreference.EC2.Tenancy,UserPreference.EC2.PricingModel,UserPreference.EC2.PricingModel.ContractTerm,UserPreference.EC2.PricingModel.Payment,UserPreference.EC2.ExcludedInstances,Applications,Tags,Server.SMBiosId,Server.VMware.MoRefId,Server.VMware.VCenterId,Server.VMware.vCenterName,Server.VMware.vmFolderPath,Server.CPU.UsagePct.Avg,Server.CPU.UsagePct.Max,Server.RAM.UsedSizeInMB.Avg,Server.RAM.UsedSizeInMB.Max,Server.RAM.UsagePct.Avg,Server.RAM.UsagePct.Max,Server.NumberOfDisks,Server.DiskReadsPerSecondInKB.Avg,Server.DiskWritesPerSecondInKB.Avg,Server.DiskReadsPerSecondInKB.Max,Server.DiskWritesPerSecondInKB.Max,Server.DiskReadOpsPerSecond.Avg,Server.DiskWriteOpsPerSecond.Avg,Server.DiskReadOpsPerSecond.Max,Server.DiskWriteOpsPerSecond.Max,Server.NetworkReadsPerSecondInKB.Avg,Server.NetworkWritesPerSecondInKB.Avg,Server.NetworkReadsPerSecondInKB.Max,Server.NetworkWritesPerSecondInKB.Max
d-server-00nndybck8eesj,,F5_Worker2,F5_Worker2,,Microsoft Windows Server 2008 R2 (64-bit),,1,,1,3.7,1,16391.340032,2.999997138977051,491.739732,t2.nano,1,512,0,0.0081,0.0081,2021-09-21 22:29:31,Windows,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,Prod:environment,42325720-0221-aedb-dec8-44c187acca9e,vm-202,7FA6726F-70BB-4B6D-B4AD-0992EC07A4A0,localhost,Datacenters/TSO Office/vm/F5_Worker2_Clone_SQL1,1.8387222222222221,3.7,113.82864166666666,491.739732,0.6944437821706135,2.999997138977051,1,0,2.9055555555555554,0,24,,,,,0.9111111111111111,0.5,5,12
d-server-02z9kgwq4z7oft,,discoveryagent,discoveryagent,,Ubuntu Linux (64-bit),,2,,2,14.59,1,1024.458752,32.99980163574219,338.069356,t3a.nano,2,512,0,0.0047,0.0047,2021-09-21 22:29:31,Linux,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,421aac5d-5682-b2a8-12e5-2a0facbabb11,vm-252,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/DiscoveryAgentTestLinux,0.44696438072198735,14.59,44.81665204627078,338.069356,4.374666325879637,32.99980163574219,1,0.45823451553182637,4.6505409622120935,5949,5381,0.37386569872958286,0,12,0,0.017675758144543682,0.005781186509142216,3,1
d-server-01tmjfff67zox8,,vesxi65-2,,Server.OS.Name cannot be blank. Server.CPU.UsagePct.Max cannot be blank.,,,2,,2,0,0,4097.835008,0,0,,,,,,,,,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,564d511d-0ab4-10d8-9c6c-bd0bee59225f,vm-1193,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/vesxi65-2,,,,,,,4,,,,,,,,,,,,
d-server-013gl81yyz3ybs,,192.168.0.56,,Recommendations are not generated for VMWare Host machines.,,,,,,75.19,0,,0,0,,,,,,,,,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,f1f289a0-869b-11e1-9e8a-e840f2b87527,host-1181,724a3f79-baae-474c-b6e6-e040d7047e82,,,13.29544879732709,75.19,1238.3746969802412,5784.832632,,,,898.5189910885808,528.365728900194,17138,57761,,,,,10.584839333381455,27.852406467263105,8943,273
d-server-01s0ztmvtcdclz,,F5_Worker4.tso.local,F5_Worker4.tso.local,,Microsoft Windows Server 2008 R2 (64-bit),,1,,1,83.34,1,2048.917504,76.9998550415039,1577.663508,t2.small,1,2048,0,0.032,0.032,2021-09-21 22:29:31,Windows,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,564db66d-e535-5dad-0872-93c3fc4ab0a0,vm-35,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/F5_Worker4,1.2869099717227914,83.34,141.59399365640607,1577.663508,6.9106732398927315,76.9998550415039,1,1.2188216299664536,1.1533216135302935,17521,26139,2.531760435571689,0.0000017723457350272234,66,0.0009765625,0.20340281171762548,0.07585038270086723,1341,36
d-server-03vrochnvg4mx3,,ki?m tra m?y ?o,,Server.OS.Name cannot be blank. Server.CPU.UsagePct.Max cannot be blank.,,,2,,2,0,0,4097.835008,0,0,,,,,,,,,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,421eef5b-c4d0-de54-a963-fb53519b8e15,vm-2085,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/ki?m tra m?y ?o,,,,,,,1,,,,,,,,,,,,
d-server-028q080iw2epej,,linux-worker2,linux-worker2,,Ubuntu Linux (64-bit),,2,,2,0.3,1,1024.458752,3.9997100830078125,40.97538,t3a.nano,2,512,0,0.0047,0.0047,2021-09-21 22:29:31,Linux,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,42329298-049b-9a90-81f6-30c5ddd65b8f,vm-35,7FA6726F-70BB-4B6D-B4AD-0992EC07A4A0,localhost,Datacenters/TSO Office/vm/Linux_worker2,0.25299999999999984,0.3,17.52792277777778,40.97538,1.7109447055392795,3.9997100830078125,1,0,0.19444444444444445,0,3,,,,,0.005555555555555556,0,1,0
d-server-00z2or8xuo45l3,,discoverycollector,,,Other 3.x or later Linux (64-bit),,2,,2,100,2,8195.670016,75,6146.752512,m5a.large,2,8192,0,0.086,0.086,2021-09-21 22:29:31,Linux,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,421afd1e-e0db-192f-980b-b659801e0efc,42,,,,27.160045951066003,100,5668.009497848191,6146.752512,69.15858601899316,75,1,911.8668692619833,305.8817442793636,9493,8945,,,,,2.471564921538424,7.207288967369035,2780,134
d-server-028l55hot3zru8,,PenTest-LRM.TSO.local,PenTest-LRM.TSO.local,,Microsoft Windows Server 2016 (64-bit),,2,,2,6.890000000000001,1,5122.2937600000005,23.99993896484375,1229.347376,t2.small,1,2048,0,0.032,0.032,2021-09-21 22:29:31,Windows,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,421a1195-d88d-20c8-d832-f369579ad5ff,vm-517,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/PenTest-LRM,3.6261666666666645,6.890000000000001,828.3871839111112,1229.347376,16.172192043728298,23.99993896484375,1,0.07777777777777778,116.4666512345679,7,1059,,,,,8.122222222222222,1.238888888888889,153,25
d-server-03gj6bj26la99w,,???????? ??????,,Server.OS.Name cannot be blank. Server.CPU.UsagePct.Max cannot be blank.,,,2,,2,0,0,4097.835008,0,0,,,,,,,,,Maximum,Maximum,US East (N. Virginia),SHARED,On-Demand,,,,,,421e4114-d3c2-6ac8-2b6a-f733aaf212ec,vm-2082,724a3f79-baae-474c-b6e6-e040d7047e82,192.168.0.62,Datacenters/TSO/vm/???????? ??????,,,,,,,1,,,,,,,,,,,,
