accountNumber,serverId,avgDiskBytesReadPerSecond,avgDiskBytesWrittenPerSecond,avgDiskReadOpsPerSecond,avgDiskWriteOpsPerSecond,avgNetworkBytesReadPerSecond,avgNetworkBytesWrittenPerSecond,maxDiskBytesReadPerSecond,maxDiskBytesWrittenPerSecond,maxDiskReadOpsPerSecond,maxDiskWriteOpsPerSecond,maxNetworkBytesReadPerSecond,maxNetworkBytesWrittenPerSecond,numCores,numCpus,numDisks,numNetworkCards,avgCpuUsagePct,maxCpuUsagePct,totalCpuReservation,totalDiskSize,totalDiskFreeSize,totalRAM,avgFreeRAM,minFreeRAM,memoryReservation,powerState,state,creationTimeStamp,lastModifiedTimeStamp,P95CpuUsagePct,P95MemoryUsagePct
635372523692,d-server-00nndybck8eesj,0,2975.288888888889,,,932.9777777777778,512,0,24576,,,5120,12288,,1,1,1,1.8387222222222221,3.7,0,,,17179869184,17060564650.666666,16664473600,0,POWER_ON,ACTIVE,2021-02-24 21:39:42,2021-02-24 21:39:44,2.7203400420274986,2.999997138977051
635372523692,d-server-02z9kgwq4z7oft,469.2321439045902,4762.153945305184,0.37386569872958286,0,18.09997634001273,5.919934985361629,6091776,5510144,12,0,3072,1024,,2,1,1,0.44696438072198735,14.59,0,17179869184,,1073741824,1026769201.9985862,719409152,0,POWER_ON,ACTIVE,2021-08-31 21:40:19,2021-09-23 20:58:57,0.5920252524017807,7.866822257927428
635372523692,d-server-01tmjfff67zox8,,,,,,,,,,,,,,2,4,2,,,0,229780750336,,4294967296,,,0,POWER_OFF,ACTIVE,2021-08-31 21:40:05,2021-09-23 20:28:53,,
635372523692,d-server-013gl81yyz3ybs,920083.4468747068,541046.5063937986,,,10838.87547738261,28520.86422247742,17549312,59147264,,,9157632,279552,,,,1,13.29544879732709,75.19,,,,,,,,POWER_ON,ACTIVE,2021-08-31 21:40:20,2021-09-23 20:28:54,29.474084421392764,
635372523692,d-server-01s0ztmvtcdclz,1248.0733490856485,1181.0013322550205,2.531760435571689,0.0000017723457350272234,208.2844791988485,77.67079188568805,17941504,26766336,66,0.0009765625,1373184,36864,,1,1,1,1.2869099717227914,83.34,0,53687091200,,2147483648,1999078070.2065918,493924352,0,POWER_ON,ACTIVE,2021-08-31 21:40:04,2021-09-23 20:58:57,1.8580288518731627,12.344729104449891
635372523692,d-server-03vrochnvg4mx3,,,,,,,,,,,,,,2,1,1,,,0,42949672960,,4294967296,,,0,POWER_OFF,ACTIVE,2021-08-31 21:40:03,2021-09-23 20:28:54,,
635372523692,d-server-028q080iw2epej,0,199.11111111111111,,,5.688888888888889,0,0,3072,,,1024,0,,2,1,1,0.25299999999999984,0.3,0,,,1073741824,1055370695.1111112,1030795264,0,POWER_ON,ACTIVE,2021-02-24 21:39:43,2021-02-24 21:39:44,0.27618414951596076,3.033000530678794
635372523692,d-server-00z2or8xuo45l3,933751.6741242709,313222.9061420683,,,2530.8824796553463,7380.263902585892,9720832,9159680,,,2846720,137216,,2,1,1,27.160045951066003,100,0,26843545600,,8589934592,2649257288.216431,2147483648,0,POWER_ON,ACTIVE,2021-02-24 21:30:32,2021-04-08 22:22:31,20.131196244377268,12.89174926337387
635372523692,d-server-028l55hot3zru8,79.64444444444445,119261.85086419753,,,8317.155555555555,1268.6222222222223,7168,1084416,,,156672,25600,,2,1,1,3.6261666666666645,6.890000000000001,0,85899345920,,5368709120,4500471170.844444,4080222208,0,POWER_ON,ACTIVE,2021-02-24 21:30:33,2021-02-24 21:30:33,5.831290473485079,20.62679882139819
635372523692,d-server-03gj6bj26la99w,,,,,,,,,,,,,,2,1,1,,,0,42949672960,,4294967296,,,0,POWER_OFF,ACTIVE,2021-08-31 21:40:06,2021-09-23 20:28:54,,
